Milt (mile-days) posterior predictions
"Year","Median Posterior Prediction","Lower 95th","Upper 95th"
"1980",110.748,48.773,242.74
"1981",82.964,36.94,182.042
"1982",63.056,27.638,135.692
"1983",95.436,42.6,209.941
"1984",106.448,48.884,229.061
"1985",121.347,53.56,264.486
"1986",102.73,47.198,219.867
"1987",163.652,73.784,349.162
"1988",155.059,70.219,339.659
"1989",183.614,84.792,391.281
"1990",131.422,59.09,279.613
"1991",126.24,56.354,273.876
"1992",103.835,46.265,232.981
"1993",52.411,23.203,114.428
"1994",30.106,13.159,65.126
"1995",35.55,15.695,77.793
"1996",30.882,13.991,67.016
"1997",26.971,12.252,58.538
"1998",20.567,9.11,42.903
"1999",21.005,9.695,45.705
"2000",20.456,8.939,44.705
"2001",19.508,8.72,43.203
"2002",24.989,11.457,54.957
"2003",36.831,16.933,79.837
"2004",33.459,15.346,74.345
"2005",28.249,13.249,63.759
"2006",26.863,12.091,59.173
"2007",29.571,13.297,67.223
"2008",46.357,21.149,101.997
"2009",38.313,17.438,85.327
"2010",40.612,18.311,86.056
"2011",26.343,11.964,56.358
"2012",24.131,10.982,52.954
"2013",19.409,8.555,43.284
"2014",18.218,8.28,39.964
"2015",11.034,4.834,23.442
"2016",8.131,3.671,17.599
"2017",8.1,3.532,17.768
"2018",8.607,3.834,19.767
"2019",16.006,7.334,36.549
"2020",29.151,13.297,66.942
"2021",30.248,13.798,71.386
"2022",30.593,13.259,67.462
"2023",39.719,17.43,91.452
"2024",35.176,15.374,80.123

Eggs deposited (trillions) posterior predictions
"Year","Median Posterior Prediction","Lower 95th","Upper 95th"
"1984",7.527,3.407,16.483
"1988",9.413,4.342,20.717
"1989",8.468,3.85,18.618
"1990",6.424,2.879,14.365
"1991",5.776,2.581,13.218
"1992",4.48,1.907,10.707
"1994",1.474,0.646,3.27
"1995",1.322,0.607,2.928
"1996",1.593,0.713,3.551
"1997",1.644,0.733,3.707

ADF&G acoustic biomass (thousands of tons) posterior predictions
"Year","Median Posterior Prediction","Lower 95th","Upper 95th"
"1980",48064.387,22392.107,98912.973
"1981",38188.267,18292.404,77942.457
"1982",33658.133,15638.608,68931.251
"1983",44410.511,20938.669,92423.427
"1984",52224.561,25474.865,106703.074
"1985",60068.05,28097.681,120381.112
"1986",51512.607,25175.687,103559.523
"1987",70307.089,33696.562,142562.339
"1988",79524.131,37875.5,160895.609
"1989",74119.081,36146.497,149969.71
"1990",62631.133,29677.42,127774.375
"1991",58088.766,27261.266,119166.763
"1992",50967.429,23869.977,105262.047
"1993",24733.752,12246.219,48877.876
"1994",11932.533,5773.867,24314.828
"1995",12723.647,6065.025,26809.969
"1996",12459.845,6123.723,25551.525
"1997",13603.383,6722.792,27418.218
"1998",10833.371,5255.57,22359.365
"1999",8228.23,3929.551,16274.486
"2000",7703.013,3771.696,14993.801
"2001",7399.737,3500.223,14699.573
"2002",10255.439,5085.377,20099.217
"2003",14354.998,7129.814,28060.577
"2004",14732.511,7495.375,28640.543
"2005",11329.229,5780.999,21115.707
"2006",10492.446,5280.79,20507.874
"2007",12521.82,6193.951,23730.531
"2008",16837.589,8639.571,31704.824
"2009",14331.892,7291.006,27607.267
"2010",13599.427,6736.467,26435.669
"2011",10459.815,5393.347,20646.698
"2012",9296.538,4601.144,18249.774
"2013",8193.427,4062.217,16228.269
"2014",5599.244,2720.582,11422.34
"2015",4276.802,2065.018,8833.196
"2016",2870.817,1354.313,5832.611
"2017",3107.825,1468.934,6384.05
"2018",3290.714,1520.991,6804.173
"2019",6922.01,3348.22,14396.315
"2020",9683.309,4734.778,20073.475
"2021",11695.5,5534.735,23849.053
"2022",11903.871,5607.617,25377.982
"2023",15897.823,7333.294,33535.419
"2024",17319.674,7859.721,37107.906

PWSSC acoustic biomass (thousands of tons) posterior predictions
"Year","Median Posterior Prediction","Lower 95th","Upper 95th"
"1980",63005.264,29149.542,138460.234
"1981",50768.91,23591.607,106227.46
"1982",44443.935,20479.789,95208.842
"1983",58292.964,26910.608,127169.081
"1984",68793.835,31356.019,144083.465
"1985",78790.079,36390.734,167435.245
"1986",68366.081,31721.734,147177.149
"1987",91038.199,42614.272,192995.986
"1988",103957.321,47618.73,222449.457
"1989",96832.567,45468.805,206716.257
"1990",82352.433,38637.777,179769.452
"1991",77069.089,35620.772,162412.286
"1992",67385.04,30046.051,147901.647
"1993",32695.889,15156.238,68019.45
"1994",15385.553,7074.775,32560.994
"1995",16774.769,7842.951,36553.247
"1996",16315.311,7873.101,34822.013
"1997",17730.881,8509.479,36831.478
"1998",14172.316,6700.641,29384.948
"1999",10806.534,5194,22100.002
"2000",10002.724,4551.036,21396.915
"2001",9767.2,4656.685,20238.044
"2002",13500.212,6544.619,27509.994
"2003",18826.556,9059.018,39055.237
"2004",19071.799,9121.584,40557.431
"2005",14819.244,7281.62,30709.542
"2006",13792.241,6705.159,29448.016
"2007",16645.703,7829.219,34710.2
"2008",22460.986,10501.678,47231.726
"2009",18867.077,8842.117,39778.647
"2010",17762.854,8414.928,37101.007
"2011",13818.939,6544.796,29193.073
"2012",12333.834,5680.124,25851.317
"2013",10705.953,5097.829,22283.051
"2014",7376.939,3424.038,15487.565
"2015",5621.541,2580.46,11800.166
"2016",3777.662,1787.966,8220.121
"2017",4087.161,1875.37,8660.959
"2018",4342.628,1972.571,9317.844
"2019",9058.226,4190.647,19886.16
"2020",12686.782,5777.718,27492.968
"2021",15294.311,6998.424,33900.985
"2022",15599.451,7099.854,34489.815
"2023",20666.888,9477.295,46033.988
"2024",22784.521,9988.344,51265.51

Age-1 Aerial survey (# of small schools) posterior predictions
"Year","Median Posterior Prediction","Lower 95th","Upper 95th"
"2010",4522,467.8,28648.9
"2012",368,26,2841.3
"2013",1804,134,11864.6
"2014",2339,198,14753.1
"2015",4510,389.5,27271.35
"2016",2323,175.9,15283.6
"2017",25838,2245.65,155406.65
"2018",5241,393.9,31751.5
"2019",4257,341.95,28296.55
"2020",11711,998.9,72689.4
"2021",17267,1459.5,114304.65
"2022",5874,442.85,43547.55
"2023",18897,516.6,22836189.65
"2024",6861,219.95,6861290.6
