Milt (mile-days) posterior predictions
"Year","Median Posterior Prediction","Lower 95th","Upper 95th"
"1980",87.937,39.326,191.851
"1981",83.833,37.841,184.516
"1982",63.041,28.066,137.287
"1983",95.39,42.977,206.87
"1984",106.291,47.135,231.472
"1985",120.364,53.911,260.81
"1986",102.901,46.483,225.027
"1987",166.245,74.457,361.512
"1988",159.071,71.801,344.677
"1989",188.486,84.908,408.632
"1990",133.542,59.767,291.994
"1991",128.797,58.396,279.094
"1992",106.443,48.382,238.038
"1993",55.87,25.486,119.275
"1994",33.131,14.918,71.779
"1995",35.382,15.953,75.984
"1996",31.675,14.367,68.644
"1997",28.006,12.678,60.483
"1998",21.138,9.572,45.687
"1999",21.635,9.91,46.817
"2000",21.317,9.599,46.932
"2001",20.194,9.022,43.958
"2002",25.088,11.356,53.809
"2003",37.264,17.389,81.094
"2004",33.511,15.292,73.364
"2005",29.751,13.516,65.28
"2006",27.639,12.35,60.61
"2007",29.733,13.765,65.493
"2008",40.728,18.664,90.383
"2009",36.566,16.926,80.979
"2010",38.884,18.114,83.164
"2011",27.421,12.624,59.256
"2012",24.433,11.197,53.167
"2013",18.518,8.49,39.885
"2014",19.486,8.652,42.015
"2015",10.622,4.719,23.26
"2016",9.296,4.217,20.599
"2017",7.918,3.536,17.718
"2018",8.814,3.953,19.416
"2019",15.602,7.14,34.494
"2020",27.508,12.452,60.874
"2021",28.438,13.037,65.126
"2022",31.907,14.165,73.689
"2023",40.97,18.136,94.985

Eggs deposited (trillions) posterior predictions
"Year","Median Posterior Prediction","Lower 95th","Upper 95th"
"1984",7.182,3.163,15.715
"1988",9.215,4.136,20.332
"1989",8.232,3.735,18.454
"1990",6.228,2.856,13.894
"1991",5.635,2.537,12.67
"1992",4.363,1.938,10.121
"1994",1.557,0.703,3.52
"1995",1.271,0.583,2.868
"1996",1.566,0.733,3.51
"1997",1.591,0.713,3.59

ADF&G acoustic biomass (thousands of tons) posterior predictions
"Year","Median Posterior Prediction","Lower 95th","Upper 95th"
"1980",38437.702,18337.722,78339.522
"1981",39295.872,18636.567,80151.559
"1982",33770.079,16077.108,70050.125
"1983",45215.317,21494.783,94379.314
"1984",53390.614,24964.674,108222.363
